日期,最高气温,最低气温
20151227,9,4
20151228,9,4
20151229,9,4
20151230,9,3
20151231,9,3
20160101,9,3
20160102,9,3
20160103,9,3
20160104,9,3
20160105,9,3
20160106,9,3
20160107,9,3
20160108,9,3
20160109,9,3
20160110,9,3
20160111,9,3
20160112,9,3
20160113,9,3
20160114,9,3
20160115,9,3
20160116,9,3
20160117,9,3
20160118,9,3
20160119,9,3
20160120,10,3
20160121,10,3
20160122,10,3
20160123,10,3
20160124,10,3
20160125,10,3
20160126,10,3
20160127,10,4
20160128,10,4
20160129,10,4
20160130,10,4
20160131,10,4
20160201,10,4
20160202,10,4
20160203,10,4
20160204,11,4
20160205,11,5
20160206,11,5
20160131,10,4
20160201,10,4
20160202,10,4
20160203,10,4
20160204,11,4
20160205,11,5
20160206,11,5
20160207,11,5
20160208,11,5
20160209,11,5
20160210,11,5
20160211,11,5
20160212,11,5
20160213,12,5
20160214,12,5
20160215,12,6
20160216,12,6
20160217,12,6
20160218,12,6
20160219,12,6
20160220,12,6
20160221,13,6
20160222,13,6
20160223,13,6
20160224,13,6
20160225,13,6
20160226,13,6
20160227,13,6
20160228,14,6
20160229,14,6
20160301,14,7
20160302,14,7
20160303,14,7
20160304,14,7
20160305,14,7
20160228,14,6
20160229,14,6
20160301,14,7
20160302,14,7
20160303,14,7
20160304,14,7
20160305,14,7
20160306,14,7
20160307,15,7
20160308,15,7
20160309,15,7
20160310,15,8
20160311,15,8
20160312,15,8
20160313,16,8
20160314,16,8
20160315,16,8
20160316,16,9
20160317,16,9
20160318,16,9
20160319,16,9
20160320,17,9
20160321,17,9
20160322,17,10
20160323,17,10
20160324,17,10
20160325,17,10
20160326,18,10
20160327,18,10
20160328,18,10
20160329,18,11
20160330,18,11
20160331,19,11
20160401,19,11
20160402,19,11
20160327,18,10
20160328,18,10
20160329,18,11
20160330,18,11
20160331,19,11
20160401,19,11
20160402,19,11
20160403,19,11
20160404,19,11
20160405,20,12
20160406,20,12
20160407,20,12
20160408,20,12
20160409,20,12
20160410,21,12
20160411,21,12
20160412,21,13
20160413,21,13
20160414,22,13
20160415,22,13
20160416,22,13
20160417,22,13
20160418,23,13
20160419,23,14
20160420,23,14
20160421,23,14
20160422,23,14
20160423,24,14
20160424,24,14
20160425,24,15
20160426,24,15
20160427,24,15
20160428,25,15
20160429,25,15
20160430,25,15
20160501,25,16
20160502,25,16
20160503,25,16
